Code,Area,Year,Measure,Value,
E09000016,Havering,Year ending Mar 2003,Median,"152,500",
E09000017,Hillingdon,Year ending Mar 2003,Median,"175,000",
E09000018,Hounslow,Year ending Mar 2003,Median,"179,950",
E09000019,Islington,Year ending Mar 2003,Median,"245,000",
E09000020,Kensington and Chelsea,Year ending Mar 2003,Median,"407,250",
E09000021,Kingston upon Thames,Year ending Mar 2003,Median,"202,500",
E09000022,Lambeth,Year ending Mar 2003,Median,"200,000",
E09000023,Lewisham,Year ending Mar 2003,Median,"150,000",
E09000024,Merton,Year ending Mar 2003,Median,"191,500",
E09000025,Newham,Year ending Mar 2003,Median,"149,999",
E09000026,Redbridge,Year ending Mar 2003,Median,"175,000",
E09000027,Richmond upon Thames,Year ending Mar 2003,Median,"250,000",
E09000028,Southwark,Year ending Mar 2003,Median,"194,000",
E09000029,Sutton,Year ending Mar 2003,Median,"163,000",
E09000030,Tower Hamlets,Year ending Mar 2003,Median,"205,000",
E09000031,Waltham Forest,Year ending Mar 2003,Median,"155,000",
E09000032,Wandsworth,Year ending Mar 2003,Median,"240,000",
E09000033,Westminster,Year ending Mar 2003,Median,"320,000",
E12000001,North East,Year ending Mar 2003,Median,"64,000",
E12000002,North West,Year ending Mar 2003,Median,"73,000",
E12000003,Yorkshire And The Humber,Year ending Mar 2003,Median,"74,000",
E12000004,East Midlands,Year ending Mar 2003,Median,"89,000",
E12000005,West Midlands,Year ending Mar 2003,Median,"92,995",
E12000006,East of England,Year ending Mar 2003,Median,"130,000",
E12000007,London,Year ending Mar 2003,Median,"186,500",
E12000008,South East,Year ending Mar 2003,Median,"153,000",
E12000009,South West,Year ending Mar 2003,Median,"128,000",
E92000001,England,Year ending Mar 2003,Median,"118,500",
W92000017,Wales,Year ending Mar 2003,Median,"74,950",
K04000014,England And Wales,Year ending Mar 2003,Median,"115,000",
E09000001,City of London,Year ending Jun 2003,Median,"290,000",
E09000002,Barking and Dagenham,Year ending Jun 2003,Median,"131,995",
E09000003,Barnet,Year ending Jun 2003,Median,"220,000",
E09000004,Bexley,Year ending Jun 2003,Median,"153,498",
E09000005,Brent,Year ending Jun 2003,Median,"200,000",
E09000006,Bromley,Year ending Jun 2003,Median,"190,000",
E09000007,Camden,Year ending Jun 2003,Median,"285,000",
E09000008,Croydon,Year ending Jun 2003,Median,"163,000",
E09000009,Ealing,Year ending Jun 2003,Median,"206,500",
E09000010,Enfield,Year ending Jun 2003,Median,"169,995",
E09000011,Greenwich,Year ending Jun 2003,Median,"159,995",
E09000012,Hackney,Year ending Jun 2003,Median,"190,000",
E09000013,Hammersmith and Fulham,Year ending Jun 2003,Median,"273,000",
E09000014,Haringey,Year ending Jun 2003,Median,"189,250",
E09000015,Harrow,Year ending Jun 2003,Median,"216,000",
E09000016,Havering,Year ending Jun 2003,Median,"160,000",
E09000017,Hillingdon,Year ending Jun 2003,Median,"181,000",
E09000018,Hounslow,Year ending Jun 2003,Median,"185,000",
E09000019,Islington,Year ending Jun 2003,Median,"247,500",
E09000020,Kensington and Chelsea,Year ending Jun 2003,Median,"400,000",
E09000021,Kingston upon Thames,Year ending Jun 2003,Median,"210,000",
E09000022,Lambeth,Year ending Jun 2003,Median,"202,000",
E09000023,Lewisham,Year ending Jun 2003,Median,"155,000",
E09000024,Merton,Year ending Jun 2003,Median,"195,000",
E09000025,Newham,Year ending Jun 2003,Median,"158,500",
E09000026,Redbridge,Year ending Jun 2003,Median,"181,000",
E09000027,Richmond upon Thames,Year ending Jun 2003,Median,"255,000",
E09000028,Southwark,Year ending Jun 2003,Median,"195,000",
E09000029,Sutton,Year ending Jun 2003,Median,"168,250",
E09000030,Tower Hamlets,Year ending Jun 2003,Median,"210,000",
E09000031,Waltham Forest,Year ending Jun 2003,Median,"162,000",
E09000032,Wandsworth,Year ending Jun 2003,Median,"240,000",
E09000033,Westminster,Year ending Jun 2003,Median,"320,000",
E12000001,North East,Year ending Jun 2003,Median,"67,500",
E12000002,North West,Year ending Jun 2003,Median,"76,000",
E12000003,Yorkshire And The Humber,Year ending Jun 2003,Median,"77,950",
E12000004,East Midlands,Year ending Jun 2003,Median,"94,000",
E12000005,West Midlands,Year ending Jun 2003,Median,"97,000",
E12000006,East of England,Year ending Jun 2003,Median,"136,000",
E12000007,London,Year ending Jun 2003,Median,"190,000",
E12000008,South East,Year ending Jun 2003,Median,"159,950",
E12000009,South West,Year ending Jun 2003,Median,"134,950",
E92000001,England,Year ending Jun 2003,Median,"123,000",
W92000018,Wales,Year ending Jun 2003,Median,"78,000",
K04000015,England And Wales,Year ending Jun 2003,Median,"120,000",
E09000001,City of London,Year ending Sep 2003,Median,"290,000",
E09000002,Barking and Dagenham,Year ending Sep 2003,Median,"137,000",
E09000003,Barnet,Year ending Sep 2003,Median,"225,000",
E09000004,Bexley,Year ending Sep 2003,Median,"159,000",
E09000005,Brent,Year ending Sep 2003,Median,"206,000",
E09000006,Bromley,Year ending Sep 2003,Median,"198,500",
E09000007,Camden,Year ending Sep 2003,Median,"280,000",
E09000008,Croydon,Year ending Sep 2003,Median,"168,000",
E09000009,Ealing,Year ending Sep 2003,Median,"209,000",
E09000010,Enfield,Year ending Sep 2003,Median,"175,000",
E09000011,Greenwich,Year ending Sep 2003,Median,"165,000",
E09000012,Hackney,Year ending Sep 2003,Median,"195,000",
E09000013,Hammersmith and Fulham,Year ending Sep 2003,Median,"276,490",
E09000014,Haringey,Year ending Sep 2003,Median,"190,000",
E09000015,Harrow,Year ending Sep 2003,Median,"225,000",
E09000016,Havering,Year ending Sep 2003,Median,"168,500",
E09000017,Hillingdon,Year ending Sep 2003,Median,"187,000",
E09000018,Hounslow,Year ending Sep 2003,Median,"192,500",
E09000019,Islington,Year ending Sep 2003,Median,"248,000",
E09000020,Kensington and Chelsea,Year ending Sep 2003,Median,"395,000",
E09000021,Kingston upon Thames,Year ending Sep 2003,Median,"215,000",
E09000022,Lambeth,Year ending Sep 2003,Median,"204,675",
E09000023,Lewisham,Year ending Sep 2003,Median,"160,000",
E09000024,Merton,Year ending Sep 2003,Median,"199,000",
E09000025,Newham,Year ending Sep 2003,Median,"166,000",
E09000026,Redbridge,Year ending Sep 2003,Median,"189,000",
