Code,Area,Year,Measure,Value,
E09000029,Sutton,Year ending Sep 2001,Median,"128,500",
E09000030,Tower Hamlets,Year ending Sep 2001,Median,"180,000",
E09000031,Waltham Forest,Year ending Sep 2001,Median,"112,500",
E09000032,Wandsworth,Year ending Sep 2001,Median,"199,999",
E09000033,Westminster,Year ending Sep 2001,Median,"275,100",
E12000001,North East,Year ending Sep 2001,Median,"53,500",
E12000002,North West,Year ending Sep 2001,Median,"59,950",
E12000003,Yorkshire And The Humber,Year ending Sep 2001,Median,"59,000",
E12000004,East Midlands,Year ending Sep 2001,Median,"68,000",
E12000005,West Midlands,Year ending Sep 2001,Median,"73,500",
E12000006,East of England,Year ending Sep 2001,Median,"95,250",
E12000007,London,Year ending Sep 2001,Median,"150,000",
E12000008,South East,Year ending Sep 2001,Median,"123,000",
E12000009,South West,Year ending Sep 2001,Median,"93,000",
E92000001,England,Year ending Sep 2001,Median,"89,950",
W92000011,Wales,Year ending Sep 2001,Median,"59,950",
K04000008,England And Wales,Year ending Sep 2001,Median,"87,950",
E09000001,City of London,Year ending Dec 2001,Median,"237,500",
E09000002,Barking and Dagenham,Year ending Dec 2001,Median,"89,500",
E09000003,Barnet,Year ending Dec 2001,Median,"174,975",
E09000004,Bexley,Year ending Dec 2001,Median,"116,973",
E09000005,Brent,Year ending Dec 2001,Median,"158,000",
E09000006,Bromley,Year ending Dec 2001,Median,"152,725",
E09000007,Camden,Year ending Dec 2001,Median,"249,995",
E09000008,Croydon,Year ending Dec 2001,Median,"126,000",
E09000009,Ealing,Year ending Dec 2001,Median,"163,000",
E09000010,Enfield,Year ending Dec 2001,Median,"130,000",
E09000011,Greenwich,Year ending Dec 2001,Median,"123,995",
E09000012,Hackney,Year ending Dec 2001,Median,"160,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2001,Median,"245,000",
E09000014,Haringey,Year ending Dec 2001,Median,"150,000",
E09000015,Harrow,Year ending Dec 2001,Median,"165,000",
E09000016,Havering,Year ending Dec 2001,Median,"122,500",
E09000017,Hillingdon,Year ending Dec 2001,Median,"140,000",
E09000018,Hounslow,Year ending Dec 2001,Median,"148,500",
E09000019,Islington,Year ending Dec 2001,Median,"216,800",
E09000020,Kensington and Chelsea,Year ending Dec 2001,Median,"363,000",
E09000021,Kingston upon Thames,Year ending Dec 2001,Median,"170,000",
E09000022,Lambeth,Year ending Dec 2001,Median,"174,200",
E09000023,Lewisham,Year ending Dec 2001,Median,"122,000",
E09000024,Merton,Year ending Dec 2001,Median,"160,000",
E09000025,Newham,Year ending Dec 2001,Median,"112,000",
E09000026,Redbridge,Year ending Dec 2001,Median,"138,000",
E09000027,Richmond upon Thames,Year ending Dec 2001,Median,"227,000",
E09000028,Southwark,Year ending Dec 2001,Median,"180,000",
E09000029,Sutton,Year ending Dec 2001,Median,"132,500",
E09000030,Tower Hamlets,Year ending Dec 2001,Median,"184,950",
E09000031,Waltham Forest,Year ending Dec 2001,Median,"118,000",
E09000032,Wandsworth,Year ending Dec 2001,Median,"204,000",
E09000033,Westminster,Year ending Dec 2001,Median,"280,000",
E12000001,North East,Year ending Dec 2001,Median,"55,000",
E12000002,North West,Year ending Dec 2001,Median,"60,000",
E12000003,Yorkshire And The Humber,Year ending Dec 2001,Median,"59,950",
E12000004,East Midlands,Year ending Dec 2001,Median,"70,000",
E12000005,West Midlands,Year ending Dec 2001,Median,"75,950",
E12000006,East of England,Year ending Dec 2001,Median,"99,995",
E12000007,London,Year ending Dec 2001,Median,"155,000",
E12000008,South East,Year ending Dec 2001,Median,"126,000",
E12000009,South West,Year ending Dec 2001,Median,"96,250",
E92000001,England,Year ending Dec 2001,Median,"92,000",
W92000012,Wales,Year ending Dec 2001,Median,"60,000",
K04000009,England And Wales,Year ending Dec 2001,Median,"90,000",
E09000001,City of London,Year ending Mar 2002,Median,"230,000",
E09000002,Barking and Dagenham,Year ending Mar 2002,Median,"93,000",
E09000003,Barnet,Year ending Mar 2002,Median,"180,000",
E09000004,Bexley,Year ending Mar 2002,Median,"119,998",
E09000005,Brent,Year ending Mar 2002,Median,"161,500",
E09000006,Bromley,Year ending Mar 2002,Median,"156,000",
E09000007,Camden,Year ending Mar 2002,Median,"250,000",
E09000008,Croydon,Year ending Mar 2002,Median,"130,000",
E09000009,Ealing,Year ending Mar 2002,Median,"167,000",
E09000010,Enfield,Year ending Mar 2002,Median,"132,000",
E09000011,Greenwich,Year ending Mar 2002,Median,"127,710",
E09000012,Hackney,Year ending Mar 2002,Median,"165,000",
E09000013,Hammersmith and Fulham,Year ending Mar 2002,Median,"247,000",
E09000014,Haringey,Year ending Mar 2002,Median,"152,700",
E09000015,Harrow,Year ending Mar 2002,Median,"170,000",
E09000016,Havering,Year ending Mar 2002,Median,"125,500",
E09000017,Hillingdon,Year ending Mar 2002,Median,"144,950",
E09000018,Hounslow,Year ending Mar 2002,Median,"153,000",
E09000019,Islington,Year ending Mar 2002,Median,"220,000",
E09000020,Kensington and Chelsea,Year ending Mar 2002,Median,"365,000",
E09000021,Kingston upon Thames,Year ending Mar 2002,Median,"175,000",
E09000022,Lambeth,Year ending Mar 2002,Median,"175,000",
E09000023,Lewisham,Year ending Mar 2002,Median,"125,000",
E09000024,Merton,Year ending Mar 2002,Median,"163,000",
E09000025,Newham,Year ending Mar 2002,Median,"118,000",
E09000026,Redbridge,Year ending Mar 2002,Median,"142,500",
E09000027,Richmond upon Thames,Year ending Mar 2002,Median,"232,500",
E09000028,Southwark,Year ending Mar 2002,Median,"180,000",
E09000029,Sutton,Year ending Mar 2002,Median,"135,000",
E09000030,Tower Hamlets,Year ending Mar 2002,Median,"187,000",
E09000031,Waltham Forest,Year ending Mar 2002,Median,"123,000",
E09000032,Wandsworth,Year ending Mar 2002,Median,"205,000",
E09000033,Westminster,Year ending Mar 2002,Median,"290,000",
E12000001,North East,Year ending Mar 2002,Median,"56,000",
E12000002,North West,Year ending Mar 2002,Median,"61,950",
E12000003,Yorkshire And The Humber,Year ending Mar 2002,Median,"60,000",
E12000004,East Midlands,Year ending Mar 2002,Median,"72,000",
E12000005,West Midlands,Year ending Mar 2002,Median,"78,000",
E12000006,East of England,Year ending Mar 2002,Median,"105,000",
E12000007,London,Year ending Mar 2002,Median,"159,000",
E12000008,South East,Year ending Mar 2002,Median,"129,000",
E12000009,South West,Year ending Mar 2002,Median,"99,995",
E92000001,England,Year ending Mar 2002,Median,"95,000",
W92000013,Wales,Year ending Mar 2002,Median,"61,500",
K04000010,England And Wales,Year ending Mar 2002,Median,"92,500",
E09000001,City of London,Year ending Jun 2002,Median,"225,000",
E09000002,Barking and Dagenham,Year ending Jun 2002,Median,"99,000",
E09000003,Barnet,Year ending Jun 2002,Median,"187,000",
E09000004,Bexley,Year ending Jun 2002,Median,"125,000",
E09000005,Brent,Year ending Jun 2002,Median,"168,000",
E09000006,Bromley,Year ending Jun 2002,Median,"160,500",
E09000007,Camden,Year ending Jun 2002,Median,"250,000",
E09000008,Croydon,Year ending Jun 2002,Median,"136,000",
E09000009,Ealing,Year ending Jun 2002,Median,"172,133",
E09000010,Enfield,Year ending Jun 2002,Median,"137,000",
E09000011,Greenwich,Year ending Jun 2002,Median,"134,995",
E09000012,Hackney,Year ending Jun 2002,Median,"170,000",
E09000013,Hammersmith and Fulham,Year ending Jun 2002,Median,"250,000",
E09000014,Haringey,Year ending Jun 2002,Median,"159,950",
E09000015,Harrow,Year ending Jun 2002,Median,"178,000",
E09000016,Havering,Year ending Jun 2002,Median,"130,000",
E09000017,Hillingdon,Year ending Jun 2002,Median,"150,000",
E09000018,Hounslow,Year ending Jun 2002,Median,"160,000",
E09000019,Islington,Year ending Jun 2002,Median,"225,000",
E09000020,Kensington and Chelsea,Year ending Jun 2002,Median,"378,050",
E09000021,Kingston upon Thames,Year ending Jun 2002,Median,"181,000",
E09000022,Lambeth,Year ending Jun 2002,Median,"180,000",
E09000023,Lewisham,Year ending Jun 2002,Median,"130,000",
E09000024,Merton,Year ending Jun 2002,Median,"171,000",
E09000025,Newham,Year ending Jun 2002,Median,"125,000",
E09000026,Redbridge,Year ending Jun 2002,Median,"149,000",
E09000027,Richmond upon Thames,Year ending Jun 2002,Median,"237,225",
E09000028,Southwark,Year ending Jun 2002,Median,"183,950",
E09000029,Sutton,Year ending Jun 2002,Median,"142,000",
E09000030,Tower Hamlets,Year ending Jun 2002,Median,"192,000",
E09000031,Waltham Forest,Year ending Jun 2002,Median,"130,000",
E09000032,Wandsworth,Year ending Jun 2002,Median,"215,000",
E09000033,Westminster,Year ending Jun 2002,Median,"300,000",
E12000001,North East,Year ending Jun 2002,Median,"57,800",
E12000002,North West,Year ending Jun 2002,Median,"64,950",
E12000003,Yorkshire And The Humber,Year ending Jun 2002,Median,"64,000",
E12000004,East Midlands,Year ending Jun 2002,Median,"75,000",
E12000005,West Midlands,Year ending Jun 2002,Median,"80,950",
E12000006,East of England,Year ending Jun 2002,Median,"110,000",
E12000007,London,Year ending Jun 2002,Median,"165,000",
E12000008,South East,Year ending Jun 2002,Median,"134,000",
E12000009,South West,Year ending Jun 2002,Median,"107,500",
E92000001,England,Year ending Jun 2002,Median,"99,000",
W92000014,Wales,Year ending Jun 2002,Median,"64,950",
K04000011,England And Wales,Year ending Jun 2002,Median,"96,950",
E09000001,City of London,Year ending Sep 2002,Median,"240,000",
E09000002,Barking and Dagenham,Year ending Sep 2002,Median,"107,000",
E09000003,Barnet,Year ending Sep 2002,Median,"196,500",
E09000004,Bexley,Year ending Sep 2002,Median,"132,000",
E09000005,Brent,Year ending Sep 2002,Median,"179,000",
E09000006,Bromley,Year ending Sep 2002,Median,"170,000",
E09000007,Camden,Year ending Sep 2002,Median,"271,000",
E09000008,Croydon,Year ending Sep 2002,Median,"143,000",
E09000009,Ealing,Year ending Sep 2002,Median,"181,250",
E09000010,Enfield,Year ending Sep 2002,Median,"145,000",
E09000011,Greenwich,Year ending Sep 2002,Median,"142,500",
E09000012,Hackney,Year ending Sep 2002,Median,"175,000",
E09000013,Hammersmith and Fulham,Year ending Sep 2002,Median,"250,000",
E09000014,Haringey,Year ending Sep 2002,Median,"170,000",
E09000015,Harrow,Year ending Sep 2002,Median,"187,000",
E09000016,Havering,Year ending Sep 2002,Median,"138,000",
E09000017,Hillingdon,Year ending Sep 2002,Median,"159,000",
E09000018,Hounslow,Year ending Sep 2002,Median,"167,600",
E09000019,Islington,Year ending Sep 2002,Median,"235,000",
E09000020,Kensington and Chelsea,Year ending Sep 2002,Median,"390,000",
E09000021,Kingston upon Thames,Year ending Sep 2002,Median,"189,975",
E09000022,Lambeth,Year ending Sep 2002,Median,"187,950",
E09000023,Lewisham,Year ending Sep 2002,Median,"138,000",
E09000024,Merton,Year ending Sep 2002,Median,"179,000",
E09000025,Newham,Year ending Sep 2002,Median,"133,000",
E09000026,Redbridge,Year ending Sep 2002,Median,"159,000",
E09000027,Richmond upon Thames,Year ending Sep 2002,Median,"245,000",
E09000028,Southwark,Year ending Sep 2002,Median,"187,973",
E09000029,Sutton,Year ending Sep 2002,Median,"150,000",
E09000030,Tower Hamlets,Year ending Sep 2002,Median,"197,500",
E09000031,Waltham Forest,Year ending Sep 2002,Median,"140,000",
E09000032,Wandsworth,Year ending Sep 2002,Median,"227,000",
E09000033,Westminster,Year ending Sep 2002,Median,"310,000",
E12000001,North East,Year ending Sep 2002,Median,"59,500",
E12000002,North West,Year ending Sep 2002,Median,"67,500",
E12000003,Yorkshire And The Humber,Year ending Sep 2002,Median,"66,950",
E12000004,East Midlands,Year ending Sep 2002,Median,"79,950",
E12000005,West Midlands,Year ending Sep 2002,Median,"85,000",
E12000006,East of England,Year ending Sep 2002,Median,"118,500",
E12000007,London,Year ending Sep 2002,Median,"174,000",
E12000008,South East,Year ending Sep 2002,Median,"140,000",
E12000009,South West,Year ending Sep 2002,Median,"115,000",
E92000001,England,Year ending Sep 2002,Median,"106,000",
W92000015,Wales,Year ending Sep 2002,Median,"67,500",
K04000012,England And Wales,Year ending Sep 2002,Median,"104,000",
E09000001,City of London,Year ending Dec 2002,Median,"250,000",
E09000002,Barking and Dagenham,Year ending Dec 2002,Median,"115,250",
E09000003,Barnet,Year ending Dec 2002,Median,"207,000",
E09000004,Bexley,Year ending Dec 2002,Median,"139,500",
E09000005,Brent,Year ending Dec 2002,Median,"187,000",
E09000006,Bromley,Year ending Dec 2002,Median,"176,820",
E09000007,Camden,Year ending Dec 2002,Median,"279,950",
E09000008,Croydon,Year ending Dec 2002,Median,"150,100",
E09000009,Ealing,Year ending Dec 2002,Median,"190,000",
E09000010,Enfield,Year ending Dec 2002,Median,"153,000",
E09000011,Greenwich,Year ending Dec 2002,Median,"150,000",
E09000012,Hackney,Year ending Dec 2002,Median,"180,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2002,Median,"265,000",
E09000014,Haringey,Year ending Dec 2002,Median,"180,000",
E09000015,Harrow,Year ending Dec 2002,Median,"197,475",
E09000016,Havering,Year ending Dec 2002,Median,"145,000",
E09000017,Hillingdon,Year ending Dec 2002,Median,"166,950",
E09000018,Hounslow,Year ending Dec 2002,Median,"174,950",
E09000019,Islington,Year ending Dec 2002,Median,"245,000",
E09000020,Kensington and Chelsea,Year ending Dec 2002,Median,"399,450",
E09000021,Kingston upon Thames,Year ending Dec 2002,Median,"198,000",
E09000022,Lambeth,Year ending Dec 2002,Median,"195,000",
E09000023,Lewisham,Year ending Dec 2002,Median,"145,000",
E09000024,Merton,Year ending Dec 2002,Median,"185,000",
E09000025,Newham,Year ending Dec 2002,Median,"141,000",
E09000026,Redbridge,Year ending Dec 2002,Median,"168,000",
E09000027,Richmond upon Thames,Year ending Dec 2002,Median,"249,950",
E09000028,Southwark,Year ending Dec 2002,Median,"190,000",
E09000029,Sutton,Year ending Dec 2002,Median,"156,000",
E09000030,Tower Hamlets,Year ending Dec 2002,Median,"200,000",
E09000031,Waltham Forest,Year ending Dec 2002,Median,"149,000",
E09000032,Wandsworth,Year ending Dec 2002,Median,"235,000",
E09000033,Westminster,Year ending Dec 2002,Median,"319,475",
E12000001,North East,Year ending Dec 2002,Median,"60,000",
E12000002,North West,Year ending Dec 2002,Median,"70,000",
E12000003,Yorkshire And The Humber,Year ending Dec 2002,Median,"70,000",
E12000004,East Midlands,Year ending Dec 2002,Median,"85,000",
E12000005,West Midlands,Year ending Dec 2002,Median,"89,950",
E12000006,East of England,Year ending Dec 2002,Median,"125,000",
E12000007,London,Year ending Dec 2002,Median,"180,000",
E12000008,South East,Year ending Dec 2002,Median,"148,000",
E12000009,South West,Year ending Dec 2002,Median,"123,000",
E92000001,England,Year ending Dec 2002,Median,"114,000",
W92000016,Wales,Year ending Dec 2002,Median,"71,000",
K04000013,England And Wales,Year ending Dec 2002,Median,"110,000",
E09000001,City of London,Year ending Mar 2003,Median,"279,500",
E09000002,Barking and Dagenham,Year ending Mar 2003,Median,"124,000",
E09000003,Barnet,Year ending Mar 2003,Median,"214,995",
E09000004,Bexley,Year ending Mar 2003,Median,"145,000",
E09000005,Brent,Year ending Mar 2003,Median,"194,500",
E09000006,Bromley,Year ending Mar 2003,Median,"185,000",
E09000007,Camden,Year ending Mar 2003,Median,"280,000",
E09000008,Croydon,Year ending Mar 2003,Median,"158,000",
E09000009,Ealing,Year ending Mar 2003,Median,"199,000",
E09000010,Enfield,Year ending Mar 2003,Median,"162,000",
E09000011,Greenwich,Year ending Mar 2003,Median,"153,500",
E09000012,Hackney,Year ending Mar 2003,Median,"185,763",
E09000013,Hammersmith and Fulham,Year ending Mar 2003,Median,"270,000",
E09000014,Haringey,Year ending Mar 2003,Median,"185,000",
E09000015,Harrow,Year ending Mar 2003,Median,"205,000",
